cell_id,source_cycle_id,elapsed_test_s,voltage_V,current_A,temperature_C,charge_capacity_Ah,discharge_capacity_Ah
95k_case,1,468862.052,3.2017,0.0,24.4736,,
95k_case,1,468869.05,3.2027,0.0,24.4736,,
95k_case,1,468876.052,3.2036,0.0,24.3668,,
95k_case,1,468883.055,3.2046,0.0,24.3668,,
95k_case,1,468890.054,3.2053,0.0,24.3668,,
95k_case,1,468897.054,3.2061,0.0,24.4736,,
95k_case,1,468904.054,3.207,0.0,24.3668,,
95k_case,1,468911.054,3.2076,0.0,24.2599,,
95k_case,1,468918.05,3.2083,0.0,24.2599,,
95k_case,1,468926.0,3.1741,-1.0634,24.2599,,
95k_case,1,468932.998,3.1636,-1.0634,24.3668,,
95k_case,1,468939.999,3.35,3.5023,24.2599,,
95k_case,1,468946.997,3.6,10.2532,24.2599,,
95k_case,1,468953.996,3.2263,-2.5302,24.4736,,
95k_case,1,468960.994,3.5613,14.7605,24.3668,,
95k_case,1,468967.997,3.5659,7.0757,24.4736,,
95k_case,1,468974.998,3.3166,0.4822,24.4736,,
95k_case,1,468981.999,3.6,7.2102,24.5805,,
95k_case,1,468988.991,3.6,5.5377,24.6874,,
95k_case,1,468995.994,3.4014,1.0659,24.7943,,
95k_case,1,469002.995,3.2414,-4.5732,24.7943,,
95k_case,1,469009.991,3.299,-1.0634,24.7943,,
95k_case,1,469016.993,3.5821,5.454,25.008,,
95k_case,1,469023.994,3.3476,-1.0634,24.9011,,
95k_case,1,469031.0,3.3041,-1.0634,24.9011,,
95k_case,1,469037.998,3.2803,-1.0634,24.9011,,
95k_case,1,469044.999,3.2634,-1.0634,25.008,,
95k_case,1,469051.992,3.2505,-1.0634,25.008,,
95k_case,1,469058.996,3.2398,-1.0634,25.008,,
95k_case,1,469065.992,3.4466,5.9793,25.008,,
95k_case,1,469072.992,3.5369,5.1976,25.008,,
95k_case,1,469079.997,3.4016,-1.0608,25.1149,,
95k_case,1,469086.996,3.6,4.7789,25.1149,,
95k_case,1,469093.997,3.2783,-6.0401,25.2218,,
95k_case,1,469100.995,3.0894,-13.7729,25.1149,,
95k_case,1,469107.992,3.5875,10.8267,25.1149,,
95k_case,1,469115.001,3.3945,0.1472,25.2218,,
95k_case,1,469122.003,3.2648,-2.8018,25.1149,,
95k_case,1,469128.994,3.6,5.3017,25.1149,,
95k_case,1,469135.993,3.3476,-1.6242,25.2218,,
95k_case,1,469142.998,3.2889,-1.4567,25.3286,,
95k_case,1,469149.995,3.4736,3.1749,25.3286,,
95k_case,1,469156.995,3.6,7.898,25.3286,,
95k_case,1,469163.995,3.6,5.2103,25.4355,,
95k_case,1,469170.994,3.6,4.1165,25.3286,,
95k_case,1,469177.998,3.3567,-2.482,25.3286,,
95k_case,1,469184.998,3.6,4.3398,25.4355,,
95k_case,1,469191.998,3.3007,-2.4389,25.5424,,
95k_case,1,469198.992,3.6,9.9232,25.4355,,
95k_case,1,469205.999,2.7977,-25.744,25.5424,,
95k_case,1,469212.991,2.9361,-13.5217,25.5424,,
95k_case,1,469219.997,3.1044,-6.3776,25.5424,,
95k_case,1,469226.993,3.2856,3.1394,25.6492,,
95k_case,1,469233.992,3.2827,-1.0608,25.6492,,
95k_case,1,469240.993,3.5205,7.6823,25.7561,,
95k_case,1,469248.0,3.3194,-1.0608,25.7561,,
95k_case,1,469254.998,3.3673,-1.0583,25.6492,,
95k_case,1,469261.992,3.2307,-4.3803,25.7561,,
95k_case,1,469268.993,3.0374,-7.2177,25.863,,
95k_case,1,469275.996,3.2002,-3.6114,25.863,,
95k_case,1,469282.996,3.3839,6.3397,25.863,,
95k_case,1,469289.996,3.1646,-4.2331,25.863,,
95k_case,1,469297.001,3.4883,10.5425,25.9699,,
95k_case,1,469304.001,3.2913,-0.4238,25.9699,,
95k_case,1,469310.994,3.2601,-1.0608,25.863,,
95k_case,1,469317.998,3.1354,-5.7406,25.863,,
95k_case,1,469324.993,3.2103,-1.0608,25.9699,,
95k_case,1,469331.991,3.3409,1.7258,25.863,,
95k_case,1,469338.993,3.5983,10.2887,25.9699,,
95k_case,1,469345.992,3.2977,-2.5226,25.9699,,
95k_case,1,469353.009,2.8244,-13.3237,25.9699,,
95k_case,1,469359.999,3.3991,9.6415,26.0767,,
95k_case,1,469366.997,3.2908,-0.7004,26.1836,,
95k_case,1,469373.998,3.2488,-1.0608,26.1836,,
95k_case,1,469380.998,3.2371,-1.0608,26.1836,,
95k_case,1,469387.993,3.2295,-1.0608,26.2905,,
95k_case,1,469394.999,3.2235,-1.0608,26.2905,,
95k_case,1,469401.992,3.2184,-1.0583,26.2905,,
95k_case,1,469409.003,3.2139,-1.0608,26.2905,,
95k_case,1,469415.992,3.21,-1.0608,26.2905,,
95k_case,1,469422.994,3.2063,-1.0608,26.1836,,
95k_case,1,469429.999,3.2031,-1.0608,26.1836,,
95k_case,1,469436.998,3.5897,14.0016,26.1836,,
95k_case,1,469443.995,3.3073,0.8248,26.1836,,
95k_case,1,469450.994,3.3722,1.1573,26.1836,,
95k_case,1,469457.999,3.2628,-1.6572,26.2905,,
95k_case,1,469465.0,2.9528,-7.9993,26.1836,,
95k_case,1,469472.001,3.2516,2.0735,26.1836,,
95k_case,1,469479.0,3.1579,-2.2409,26.1836,,
95k_case,1,469485.994,3.6,11.3368,26.2905,,
95k_case,1,469492.999,3.3078,-1.0608,26.3973,,
95k_case,1,469499.992,3.2731,-1.0608,26.3973,,
95k_case,1,469506.992,3.256,-1.0608,26.3973,,
95k_case,1,469513.998,3.2441,-1.0583,26.3973,,
95k_case,1,469520.999,3.2348,-1.0608,26.3973,,
95k_case,1,469527.993,2.8988,-15.0241,26.2905,,
95k_case,1,469534.992,2.9932,-6.3243,26.1836,,
95k_case,1,469541.998,3.226,-1.0608,26.2905,,
95k_case,1,469548.998,2.8718,-14.0775,26.2905,,
95k_case,1,469555.997,3.3222,3.2257,26.2905,,
95k_case,1,469562.996,3.5767,12.3698,26.1836,,
95k_case,1,469569.992,3.4367,4.619,26.2905,,
95k_case,1,469576.996,3.6,8.002,26.2905,,
95k_case,1,469583.998,3.5998,5.7103,26.2905,,
95k_case,1,469591.004,3.48,3.5785,26.3973,,
95k_case,1,469598.0,3.3716,0.3071,26.3973,,
95k_case,1,469605.0,3.6,5.8093,26.5042,,
95k_case,1,469612.0,3.4144,5.8651,26.5042,,
95k_case,1,469618.993,3.236,-4.02,26.6111,,
95k_case,1,469625.992,3.3302,-2.9591,26.6111,,
95k_case,1,469633.0,3.3485,-2.6647,26.6111,,
95k_case,1,469640.0,3.55,7.7584,26.718,,
95k_case,1,469646.996,3.6,9.4385,26.718,,
95k_case,1,469653.999,3.4166,4.1216,26.6111,,
95k_case,1,469660.995,3.6,5.3474,26.6111,,
95k_case,1,469668.002,3.6,4.1596,26.6111,,
95k_case,1,469674.996,3.3309,-6.4918,26.718,,
95k_case,1,469681.993,3.6,4.4921,26.718,,
95k_case,1,469688.994,3.6,3.9896,26.718,,
95k_case,1,469695.994,3.1312,-12.037,26.718,,
95k_case,1,469703.0,3.1235,-7.1441,26.8248,,
95k_case,1,469709.994,3.6,7.3371,26.8248,,
95k_case,1,469716.994,3.6,4.756,26.6111,,
95k_case,1,469723.992,3.478,-1.0532,26.718,,
95k_case,1,469730.997,3.1479,-6.1137,26.718,,
95k_case,1,469738.001,3.6,6.2534,26.718,,
95k_case,1,469744.998,3.5583,2.1623,26.718,,
95k_case,1,469751.999,3.4073,-1.7993,26.8248,,
95k_case,1,469758.998,3.5345,5.2865,26.718,,
95k_case,1,469765.995,3.5988,5.6494,26.718,,
95k_case,1,469772.996,3.6,3.01,26.718,,
95k_case,1,469779.998,3.6,2.477,26.6111,,
95k_case,1,469787.002,3.2223,-9.6997,26.6111,,
95k_case,1,469793.999,3.1165,-11.0676,26.6111,,
95k_case,1,469800.994,3.4729,5.4743,26.6111,,
95k_case,1,469807.997,3.4574,5.3093,26.5042,,
95k_case,1,469815.0,3.2587,-1.0507,26.5042,,
95k_case,1,469821.999,3.0735,-9.6083,26.6111,,
95k_case,1,469828.996,3.6,9.7177,26.3973,,
95k_case,1,469836.0,3.0562,-10.7478,26.6111,,
95k_case,1,469842.991,2.9276,-13.6486,26.6111,,
95k_case,1,469850.0,3.2378,4.6824,26.6111,,
95k_case,1,469856.995,3.1224,-1.0532,26.6111,,
95k_case,1,469863.997,3.157,-1.0532,26.8248,,
95k_case,1,469870.992,2.6395,-20.9576,26.9317,,
95k_case,1,469877.991,3.5755,18.6206,26.9317,,
95k_case,1,469884.999,3.0308,-8.7937,27.0386,,
95k_case,1,469891.996,3.0172,-5.5376,27.1454,,
95k_case,1,469899.004,3.6,15.8645,27.2523,,
95k_case,1,469905.995,3.3365,0.9187,27.3592,,
95k_case,1,469912.994,3.267,-1.0532,27.4661,,
95k_case,1,469919.995,3.2518,-1.0532,27.5729,,
95k_case,1,469926.998,3.2425,-1.0532,27.6798,,
95k_case,1,469933.998,3.2356,-1.0532,27.6798,,
95k_case,1,469940.998,3.2299,-1.0532,27.5729,,
95k_case,1,469947.991,3.225,-1.0532,27.5729,,
95k_case,1,469954.996,3.1847,-5.2711,27.4661,,
95k_case,1,469961.999,3.2395,-1.0202,27.5729,,
95k_case,1,469968.996,3.4148,8.8167,27.5729,,
95k_case,1,469976.0,3.6,13.7199,27.4661,,
95k_case,1,469982.994,3.6,7.6543,27.5729,,
95k_case,1,469990.003,2.7569,-26.749,27.4661,,
95k_case,1,469996.993,2.9703,-11.5142,27.4661,,
95k_case,1,470003.997,2.9469,-8.1693,27.5729,,
95k_case,1,470011.0,2.9858,-9.8469,27.5729,,
95k_case,1,470017.996,2.4999,-25.7567,27.6798,,
95k_case,1,470024.995,3.2139,4.3424,27.5729,,
95k_case,1,470031.995,2.851,-6.1365,27.7867,,
95k_case,1,470038.993,2.7003,-12.6893,28.0004,,
95k_case,1,470045.992,3.0497,-1.0557,28.1073,,
95k_case,1,470052.997,3.5352,17.2679,28.2142,,
95k_case,1,470059.992,3.4293,6.3524,28.2142,,
