dataset_id,dataset_name,ref_name,data_category,source,source_url,processed_url,chemistry,form_factor,cells,cycles,size_mb,assigned_student,reviewed_by,status,metadata_done,timeseries_done,cycle_summary_done,dataset_note_done,qc_done,last_updated,count_basis,notes,stats_scope,cells_basis,cycles_basis,volume_basis,cells_group,cycles_group,volume_group
dataset_01,NASA PCoE Battery Aging,2007_NASA_PCoE_LCO_18650_1C_1C_25T,cycle_aging,https://data.nasa.gov/dataset/li-ion-battery-aging-datasets,https://data.nasa.gov,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgAu2ccBNe8cT5AV0bDy1ePxAX-As6pYSo1z1kyM4LRB3nI?e=TwNiSM,LCO,18650,34,5609,209.70867,Liu Kefan,,done,yes,yes,yes,yes,yes,2026/9/8,"Full-source metrics audit 2026-09-08. Full-dataset figures from the author documentation in the raw archives (checked 2026-09-08): 34 cell .mat files (B0005-B0056) in the complete NASA archive; 5,609 cycles from the ETL summary. Volume: Complete NASA source ZIP; verified archive receipt.",4 LCO 18650 cells; 7.28M timeseries rows; charge/discharge/impedance,full_source,known,known,known,,,
dataset_02,CALCE CS2 Battery Aging,2013_CALCE_UMD_LCO_Prismatic_1.1Ah_0.5C_1C_25T,cycle_aging,https://calce.umd.edu/battery-data,https://calce.umd.edu,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgCPAOqTpPscT7YfIS1HgMPAAZHMsg6r2tsFwWfzysV9fVI?e=mCG0yb,LCO,Prismatic,6,5686,248.444385,Liu Kefan,,done,yes,yes,yes,yes,yes,2026/9/8,"Full-source metrics audit 2026-09-08. Full-dataset figures from the author documentation in the raw archives (checked 2026-09-08): the CS2 study is the six CS2_33-CS2_38 cells (all archives held); 5,686 source cycle indices across their 152 cycling tables. Volume: All six author CS2_33 through CS2_38 ZIP archives; complete CS2 release, not the entire CALCE portal.",CS2/CX2 LCO 18650; Excel format; 1000+ cycles,full_source,known,known,known,,,
dataset_03,Stanford-MIT-TRI Fast Charging,2019_Stanford_MIT_TRI_LFP_18650_MultiC_30T,cycle_aging,https://data.matr.io/1/,https://doi.org/10.1038/s41560-019-0356-8,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgD_pp7pwJmGSo8YoIWsyUhsAdAXebc_hy7v3wYg_xPVqro?e=gfzBXe,LFP,18650,124,0,8269.341808,Liu Kefan,,done,yes,yes,yes,no,yes,2026/9/8,"Full-source metrics audit 2026-09-08. Complete-study cell count retained from author documentation. Earlier estimated cycle total removed pending a complete source-cycle audit. Volume: All three original 2017-05, 2017-06, 2018-04 MATR batch files; upstream HEAD lengths. Later 2019 extension excluded.",124 LFP/graphite cells; multi-protocol fast charging; Severson et al. Nature Energy 2019,full_source,known,unknown,known,,,
dataset_04,Oxford Battery Degradation,2017_Oxford_Howey_LCO-NCO_Pouch_740mAh_2C_Artemis_40T,cycle_aging,https://howey.eng.ox.ac.uk/data-and-code/,https://ora.ox.ac.uk/objects/uuid:03ba4b01-cfed-46d3-9b1a-7d4a7bdf6fac,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgBs5CWjO_9qS5DrwYGebQHBAaZIyqPvyWjtC9m31o_tC3k?e=yRITtW,Multi,Pouch,8,55300,266.236883,Liu Kefan,,wip,yes,yes,yes,yes,yes,2026/9/8,"Full-source metrics audit 2026-09-08. Full-dataset figures from the author documentation in the raw archives (checked 2026-09-08): 8 Kokam pouch cells in Oxford Battery Degradation Dataset 1 (complete); cycles = sum of the last RPT aging-cycle count per cell, RPT every 100 cycles (55,300). Volume: Complete Oxford Dataset 1 MAT plus ExampleDC MAT; accompanying documentation excluded.",Oxford Dataset 1; eight Kokam pouch cells. Full source scope excludes unrelated NCA studies.,full_source,known,known,known,,,
dataset_05,RWTH Aachen Lithium-Ion,2021_RWTH_Aachen_NMC_18650_MultiC_MultiT,cycle_aging,https://publications.rwth-aachen.de/record/818642,https://publications.rwth-aachen.de/record/818642,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgA6E_29GYFTSqvUREUnC4oEAShTAGsl4lNqEkm1LcM7h2Y?e=awyBsa,NMC,18650,48,116749,5444.154862,Liu Kefan,,done,yes,yes,yes,no,yes,2026/9/8,"Full-source metrics audit 2026-09-08. Full-dataset figures from the author documentation in the raw archives (checked 2026-09-08): 48 Sanyo UR18650E cells per the RWTH metadata PDF; 116,749 aging cycles counted as distinct Zyklus counter values across the ZYK cycling files (complete 5.1 GB archive held). Volume: Complete author Rawdata.zip; accompanying documentation excluded.",RWTH Aachen; NMC/Graphite; CSV format; 48 samples,full_source,known,known,known,,,
dataset_06,SNL BatteryArchive Cycle Aging,2020_SNL_BatteryArchive_NCA-NMC-LFP_18650_MultiDOD_MultiC_15-25-35T,cycle_aging,https://zenodo.org/records/21149533,https://zenodo.org/records/21149533,,NCA-NMC-LFP,18650,61,0,0,Cao Han,,wip,yes,yes,yes,no,no,2026/9/8,"Full-source metrics audit 2026-09-08. 61 cells in the documented SNL BatteryLife release; original CSV volume and full original cycle count unavailable. The processed-copy ZIP size is excluded. Volume: Full original release volume is unknown; local subset, processed-copy and unverified legacy sizes are excluded.",Preger et al. JES 2020 cycle aging. BatteryLife v12 processed copy; original BatteryArchive CSV not acquired. Mechanical abuse is dataset_34.,full_source,known,unknown,unknown,,,
dataset_07,HNEI BatteryArchive NMC,2018_HNEI_BatteryArchive_NMC-LCO_18650_2.8Ah_0.5C_1.5C_25T,cycle_aging,https://www.batteryarchive.org/,https://batteryarchive.org,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgAe8XQyoi2BSLmMrf42Xz4lASO3fAf88CfQ-zHAE8AkgJU?e=iw69hJ,NMC,18650,14,0,0,Cao Han,,done,yes,yes,yes,no,yes,2026/9/8,"Full-source metrics audit 2026-09-08. 14 HNEI study cells. Original CSV volume and full original cycle total are not established by the BatteryLife copy; processed-copy size/cycles excluded. Volume: Full original release volume is unknown; local subset, processed-copy and unverified legacy sizes are excluded.",Hawaii Natural Energy Institute; NMC 18650 cells,full_source,known,unknown,unknown,,,
dataset_08,UL-Purdue BatteryArchive NCA,2020_UL_PUR_BatteryArchive_NCA_18650_0.5C_0.5C_23T,cycle_aging,https://www.batteryarchive.org/,https://batteryarchive.org,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgCk2QLkD7maSYcV51CbnSS6Adf5rpq85Y9nW75acvkODzI?e=LtTELj,NCA,18650,21,0,0,Cao Han,,done,yes,yes,yes,no,yes,2026/9/8,"Full-source metrics audit 2026-09-08. 21 cells in the original UL-PUR Part I study (BatteryArchive study summary); the local BatteryLife copy covers only 10. Original CSV volume and complete cycle total unknown. Volume: Full original release volume is unknown; local subset, processed-copy and unverified legacy sizes are excluded.",UL-PUR / UL-Purdue; 21 NCA 18650 cylindrical cells; 23°C; 0.5C/0.5C protocol,full_source,known,unknown,unknown,,,
dataset_09,XJTU NCM Prismatic,2024_XJTU_NCM_18650_2Ah_MultiC_MultiC_25T,cycle_aging,https://zenodo.org/record/7758424,https://zenodo.org/records/10963339,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgCZBnB6O9HAQI-TxUwXTAcMAbNRt2oC9C9TDAkT-4Q1rmE?e=jCPdVs,NMC,18650,55,27642,2438.769934,Cao Han,,done,yes,yes,yes,yes,yes,2026/9/8,"Full-source metrics audit 2026-09-08. Full-dataset figures from the author documentation in the raw archives (checked 2026-09-08): 55 LISHEN NCM 18650 cells in 6 batches per the XJTU data introduction; 27,642 cycles counted from the 55 complete .mat files. Volume: Complete author Battery Dataset.zip, Zenodo 10963339; official size and MD5.",Xi'an Jiaotong University; NCM prismatic; Zenodo 2023,full_source,known,known,known,,,
dataset_11,KIT NMC/C-SiO 228 Cells,2024_KIT_NMC-SiO_18650_MultiC_MultiT,cycle_aging,https://data.mendeley.com/datasets/279783p5df/1,https://doi.org/10.1038/s41597-024-03831-x,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgA7SW3-O8n1SIVDxKOIv3OxAVZY3b8ZY7Mqmu2xGl934HQ?e=SYqOzt,NMC,18650,228,0,69375.563264,,,pending,no,no,no,no,no,2026/9/8,Full-source metrics audit 2026-09-08. 228 cells in the original KIT study; raw release volume comes from the full upstream record. Volume: Official RADAR v1 record contentSize; the local mixed v1/v2 subset is not used.,Karlsruhe Institute; 228 NMC/C-SiO cells; 30B+ data points; Sci Data 2024,full_source,known,unknown,known,KIT_Luh_228,,
